"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отображения страницы без товара","20515","Проверка отображения страницы корзины","Surefire suite","Thu Jul 31 21:16:15 GMT 2025","failed","Thu Jul 31 21:16:36 GMT 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkPageYourCart"
"Проверка иконки корзины","20510","Проверка иконки корзины","Surefire suite","Thu Jul 31 21:15:12 GMT 2025","failed","Thu Jul 31 21:15:33 GMT 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkCartBadge"
"","453","Проверка получения сообщений при различных способах входа","Surefire suite","Thu Jul 31 21:17:19 GMT 2025","passed","Thu Jul 31 21:17:19 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка перехода на страницу проверки товаров в корзине","20478","Проверка отображения страницы","Surefire suite","Thu Jul 31 21:15:33 GMT 2025","failed","Thu Jul 31 21:15:54 GMT 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkButtonCheckout"
"","446","Негативный,проверка входа в систему по логину паролю","Surefire suite","Thu Jul 31 21:17:43 GMT 2025","passed","Thu Jul 31 21:17:44 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue"
"Проверка, что пользователь не может войти без пароля","453","Проверка входа в систему без пароля","Surefire suite","Thu Jul 31 21:17:21 GMT 2025","passed","Thu Jul 31 21:17:22 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithoutPassword"
"","445","Проверка получения сообщений при различных способах входа","Surefire suite","Thu Jul 31 21:17:18 GMT 2025","passed","Thu Jul 31 21:17:18 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"Проверка цени и названия товара","20496","Проверка цены и имени товара","Surefire suite","Thu Jul 31 21:15:54 GMT 2025","failed","Thu Jul 31 21:16:15 GMT 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkProductYourCart"
"","5005","Проверка входа в систему с именем и паролем","Surefire suite","Thu Jul 31 21:17:22 GMT 2025","broken","Thu Jul 31 21:17:27 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLogin"
"Проверка кнопки возврата на страницу покупок","20481","Проверка возврата на страницу продуктов","Surefire suite","Thu Jul 31 21:16:36 GMT 2025","failed","Thu Jul 31 21:16:57 GMT 2025","tests.YourCartTest","Surefire test","tests.YourCartTest","checkButtonContinueShopping"
"","424","Проверка получения сообщений при различных способах входа","Surefire suite","Thu Jul 31 21:17:20 GMT 2025","passed","Thu Jul 31 21:17:20 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue1"
"","1","Проверка входа в систему без имени","Surefire suite","Thu Jul 31 21:17:44 GMT 2025","skipped","Thu Jul 31 21:17:44 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithoutUserName"
"","20504","Проверка локаторов","Surefire suite","Thu Jul 31 21:16:57 GMT 2025","broken","Thu Jul 31 21:17:18 GMT 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","checkLocators"
"","1","test","Surefire suite","Thu Jul 31 21:16:57 GMT 2025","passed","Thu Jul 31 21:16:57 GMT 2025","tests.LogTest","Surefire test","tests.LogTest","test"
